
# cat /proc/irq_diag_irq_diag_stat

[  155.306687] For Irq# - 18, IRQ rate - 419 per 500 ms
[  155.311698] For Irq# - 19, IRQ rate - 950 per 500 ms
[  155.316685] For Irq# - 20, IRQ rate - 1702 per 500 ms
[  155.321769] For Irq# - 21, IRQ rate - 0 per 500 ms
[  155.326582] For Irq# - 22, IRQ rate - 0 per 500 ms
[  155.331411] For Irq# - 23, IRQ rate - 0 per 500 ms
[  155.336226] For Irq# - 24, IRQ rate - 0 per 500 ms
[  155.341055] For Irq# - 25, IRQ rate - 0 per 500 ms
[  155.345887] For Irq# - 26, IRQ rate - 0 per 500 ms
[  155.350725] For Irq# - 27, IRQ rate - 0 per 500 ms
[  155.355540] For Irq# - 28, IRQ rate - 0 per 500 ms
[  155.360381] For Irq# - 29, IRQ rate - 0 per 500 ms
[  155.365194] For Irq# - 30, IRQ rate - 0 per 500 ms
[  155.370020] For Irq# - 31, IRQ rate - 0 per 500 ms
[  155.374834] For Irq# - 32, IRQ rate - 0 per 500 ms
[  155.379669] For Irq# - 33, IRQ rate - 0 per 500 ms
[  155.384482] For Irq# - 34, IRQ rate - 0 per 500 ms
[  155.389326] For Irq# - 35, IRQ rate - 0 per 500 ms
[  155.394190] For Irq# - 36, IRQ rate - 0 per 500 ms
[  155.399035] For Irq# - 37, IRQ rate - 0 per 500 ms
[  155.403878] For Irq# - 38, IRQ rate - 0 per 500 ms
[  155.408691] For Irq# - 39, IRQ rate - 0 per 500 ms
[  155.413516] For Irq# - 40, IRQ rate - 0 per 500 ms
[  155.418330] For Irq# - 41, IRQ rate - 0 per 500 ms
[  155.423175] For Irq# - 42, IRQ rate - 0 per 500 ms
[  155.427992] For Irq# - 43, IRQ rate - 0 per 500 ms
[  155.432820] For Irq# - 44, IRQ rate - 0 per 500 ms
[  155.437636] For Irq# - 45, IRQ rate - 0 per 500 ms
[  155.442467] For Irq# - 46, IRQ rate - 0 per 500 ms
[  155.447277] For Irq# - 47, IRQ rate - 0 per 500 ms
[  155.452107] For Irq# - 48, IRQ rate - 0 per 500 ms
[  155.456944] For Irq# - 49, IRQ rate - 0 per 500 ms
[  155.461790] For Irq# - 50, IRQ rate - 0 per 500 ms
[  155.466604] For Irq# - 51, IRQ rate - 0 per 500 ms
[  155.471439] For Irq# - 52, IRQ rate - 0 per 500 ms
[  155.476250] For Irq# - 53, IRQ rate - 0 per 500 ms
[  155.481097] For Irq# - 54, IRQ rate - 0 per 500 ms
[  155.485913] For Irq# - 55, IRQ rate - 0 per 500 ms
[  155.490743] For Irq# - 56, IRQ rate - 0 per 500 ms
[  155.495557] For Irq# - 57, IRQ rate - 0 per 500 ms
[  155.500390] For Irq# - 58, IRQ rate - 0 per 500 ms
[  155.505202] For Irq# - 59, IRQ rate - 0 per 500 ms
[  155.510026] For Irq# - 60, IRQ rate - 7 per 500 ms
[  155.514838] For Irq# - 61, IRQ rate - 0 per 500 ms
[  155.519669] For Irq# - 62, IRQ rate - 0 per 500 ms
[  155.524480] For Irq# - 63, IRQ rate - 0 per 500 ms
[  155.529312] For Irq# - 64, IRQ rate - 0 per 500 ms
[  155.534125] For Irq# - 65, IRQ rate - 0 per 500 ms
[  155.538954] For Irq# - 66, IRQ rate - 0 per 500 ms
[  155.543785] For Irq# - 67, IRQ rate - 0 per 500 ms
[  155.548617] For Irq# - 68, IRQ rate - 0 per 500 ms
[  155.553454] For Irq# - 69, IRQ rate - 0 per 500 ms
[  155.558282] For Irq# - 70, IRQ rate - 0 per 500 ms
